"Gene","p.EMMAX","p.LM","Neg.log10.p.EMMAX","Neg.log10.p.LM","Beta.EMMAX","Beta.LM","Allele.freq","Description","Temperature"
"AT1G31740",0.754340443092696,0.16878753533526,0.122432607462184,0.7726596284153,-0.475904821575424,3.1979306674748,0.0643863179074447,"Encodes a putative &beta;-galactosidase.","10°C"
"AT1G31772",0.874284738043571,0.828180940709511,0.0583471028094945,0.0818747683276429,-0.187525390336298,0.397970487383583,0.108651911468813,"Encodes a defensin-like (DEFL) family protein.","10°C"
"AT1G31835",0.55809599654775,0.660518667161228,0.253291092845205,0.180114904119772,-0.751672240158393,0.811958184739078,0.893360160965795,"hypothetical protein;(source:Araport11)","10°C"
"AT1G31880",0.367073905878637,0.87305855259128,0.435246487017957,0.0589566289008891,-1.26262370351872,-0.405814101846491,0.0533199195171026,"Belongs to five-member BRX gene family. Arabidopsis BRX genes share high levels of similarity among each others, with several conserved domains. The most distinct is BRX domain - highly conserved in all BRX genes among distantly related species. This protein-protein interaction domain is required and sufficient for BRX activity. BRX encodes a key regulator of cell proliferation and elongation in the root, which has been implicated in the brassinosteroid (BR) pathway as well as regulation of auxin-responsive gene expression. Also involved in cytokinin-mediated inhibition of lateral root initiation.  A loss-of-function allele, named brx-2 in   Rodrigues et al. (2009) Plant Physiol. but changed to brx-3 to resolve nomenclature conflict (Li et al. Planta 2009:229(3):593-603), shows enhanced response to ABA-mediated inhibition of root growth. Plasma-membrane-associated element of a molecular rheostat that modulates auxin flux through developing protophloem sieve elements (PPSEs) while interacting with PAX, thereby timing PPSE differentiation. Dampens PIN-mediated auxin efflux.","10°C"
"AT1G31910",0.00765813170777922,1.96094318554879e-06,2.11587716874442,5.70753498897377,2.18818951249092,6.11948144709341,0.735412474849095,"GHMP kinase family protein;(source:Araport11)","10°C"
"AT1G31920",0.0319243964067591,1.68246157062555e-07,1.49587730517471,6.77405484678058,1.67251493630967,6.02040651660148,0.586519114688129,"Tetratricopeptide repeat (TPR)-like superfamily protein;(source:Araport11)","10°C"
"AT1G31960",0.721819919583042,0.00926956911006032,0.14157113717589,2.03294045328511,0.33820154403283,4.21135348607418,0.144869215291751,"hypothetical protein;(source:Araport11)","10°C"
"AT1G31970",0.0302635170269974,0.000323218631412753,1.51908060253026,3.49050361297625,3.60827388351333,8.87069118808902,0.0563380281690141,"DEA(D/H)-box RNA helicase family protein;(source:Araport11)","10°C"
"AT1G31990",0.701999958149087,0.00424279161826906,0.153662913761393,2.3723482977781,-0.298236566601596,3.5751424500882,0.706237424547284,"transmembrane protein;(source:Araport11)","10°C"
"AT1G32000",0.509997056233587,0.000325265363490596,0.292432330696571,3.48776218094129,-0.720317502927131,6.02441761006749,0.867203219315895,"hypothetical protein;(source:Araport11)","10°C"
"AT1G32010",0.533103724819793,0.000137650644403281,0.273188283029283,3.86122175114218,-0.664459967163499,6.21260659785812,0.858148893360161,"myosin heavy chain-like protein;(source:Araport11)","10°C"
"AT1G32020",0.978895302435371,3.07712017526342e-06,0.00926375559838972,5.51185554228533,-0.0268894522136206,7.13381819971261,0.835010060362173,"F-box family protein;(source:Araport11)","10°C"
"AT1G32030",0.475096600023037,2.40606801474807e-06,0.323218077550732,5.61869210018309,-0.596732131180899,5.71845345954128,0.676056338028169,"plant-specific B3-DNA-binding domain protein (DUF313);(source:Araport11)","10°C"
"AT1G32050",0.306033753521112,0.433709562313126,0.514230671036263,0.362801002536403,0.960184535200807,1.17276353291184,0.176056338028169,"SCAMP family protein;(source:Araport11)","10°C"
"AT1G32090",0.165790969264715,0.169627582758959,0.78043912942698,0.770503526690058,-1.77341137644646,2.57032569445425,0.103621730382294,"early-responsive to dehydration stress protein (ERD4);(source:Araport11)","10°C"
"AT1G32140",0.263368032289546,0.0919591604158342,0.579436941002183,1.03640500247926,-0.838157467755084,1.92878074303782,0.457746478873239,"F-box family protein;(source:Araport11)","10°C"
"AT1G32225",0.48257381728947,0.0208185313670659,0.316436245036379,1.68154991083298,0.730916874540815,3.29783915362215,0.199195171026157,"hypothetical protein;(source:Araport11)","10°C"
"AT1G32270",0.195867638806372,0.758525764056641,0.70803731208479,0.120029663397221,-1.14098366968246,0.432016237862794,0.208249496981891,"member of SYP2 Gene Family; LE/vacuole localized.","10°C"
"AT1G32290",0.271643162765958,0.0989533571871515,0.56600122164585,1.00456946691366,1.56732972065513,3.54078039642128,0.0764587525150905,NA,"10°C"
"AT1G32300",0.683781775825404,0.00397101336584652,0.165082478216134,2.40109865116235,-0.526918805149076,5.5530809200696,0.096579476861167,"D-arabinono-1,4-lactone oxidase family protein;(source:Araport11)","10°C"
"AT1G32375",0.72430355957329,0.0626356936072838,0.140079380463734,1.20317810897828,-0.382975949040713,3.03345070443662,0.142857142857143,"F-box/RNI-like/FBD-like domains-containing protein;(source:Araport11)","10°C"
"AT1G32380",0.891901582850722,0.432069949740818,0.0496830653357157,0.364445937612782,0.190401483040421,-1.91234711173261,0.0583501006036217,"Encodes a P-dependent phosphoribosyl pyrophosphate (PRPP) synthase.","10°C"
"AT1G32420",0.330705136854084,0.000592508378539552,0.480559059123018,3.22730550400517,1.28443282859718,6.84500589729133,0.0895372233400402,"F-box and associated interaction domains-containing protein;(source:Araport11)","10°C"
"AT1G32430",0.555133836150743,0.471524848536378,0.255602301031116,0.326495415762542,0.557772932204623,0.917305013634998,0.277665995975855,"F-box and associated interaction domains-containing protein;(source:Araport11)","10°C"
"AT1G32480",0.893373685692867,0.0128398181189145,0.0489668438125676,1.89144112817614,-0.133890429603374,-3.32207697888733,0.23943661971831,"Predicted to encode a protein related isocitrate dehydrogenases, but it appears to be missing the sequences encoding the  N-terminal portion of the protein.","10°C"
"AT1G32570",0.708415065872256,0.276786863114425,0.149712211237454,0.557854526253953,-0.316059765528111,1.24470238872694,0.539235412474849,"hypothetical protein;(source:Araport11)","10°C"
"AT1G32600",0.21819332573377,0.177644852479195,0.661158538080062,0.75044737231352,-1.20282082679386,-1.80704314021913,0.237424547283702,"F-box associated ubiquitination effector family protein;(source:Araport11)","10°C"
"AT1G32650",0.604825146455973,0.0352248576761561,0.218370160727687,1.45315075295487,0.554237834999041,3.0168203245623,0.197183098591549,"hypothetical protein;(source:Araport11)","10°C"
"AT1G32660",0.690577598467788,0.227728970382129,0.160787513764758,0.642581717400761,0.29934309070736,-1.43875377633054,0.354124748490946,"F-box and associated interaction domains-containing protein;(source:Araport11)","10°C"
"AT1G32670",0.00474706610792063,0.0191953387741419,2.32357472022914,1.716804218715,3.70934817756489,4.4968298302117,0.0975855130784708,NA,"10°C"
"AT1G32690",0.304223014754568,0.0369378739721562,0.516807934257941,1.43252810480082,1.48658049892359,4.81084706463608,0.0653923541247485,"DUF740 family protein;(source:Araport11)","10°C"
"AT1G32720",0.931786415781089,1.00757218608598e-06,0.0306836252832881,5.99672382965755,-0.0719686016251342,5.55709447760854,0.529175050301811,"Cytochrome C oxidase polypeptide VIB family protein;(source:Araport11)","10°C"
